Week,Costs ($),Revenue
"Apr 16, 2023",2291.916,8367.2022
"Apr 9, 2023",5043.599,28252.18635
"Apr 2, 2023",4209.854,17636.25285
"Mar 26, 2023",5042.051916,46111.7905
"Mar 19, 2023",6387.807574,18235.6695
"Mar 12, 2023",6130.199944,24158.26447
"Mar 5, 2023",5605.241193,21384.79103
"Feb 26, 2023",8654.698447,39133.21314
"Feb 19, 2023",7926.689224,24847.13694
"Feb 12, 2023",5520.209037,16511.18532
"Feb 5, 2023",4984.937898,12677.79832
"Jan 29, 2023",17883.95674,28225.33178
"Jan 22, 2023",32069.26792,40786.27015
"Jan 15, 2023",34045.43163,35811.48159
"Jan 8, 2023",38242.59657,38501.76037
"Jan 1, 2023",38123.52474,36009.18452
"Dec 25, 2022",32870.79004,17545.21558
"Dec 18, 2022",29410.98148,25104.77513
"Dec 11, 2022",23550.46174,32894.61043
"Dec 4, 2022",25424.36912,32404.46936
"Nov 27, 2022",23063.36559,41714.84532
"Nov 20, 2022",23395.25097,37730.29354
"Nov 13, 2022",14647.09191,35745.70068
"Nov 6, 2022",10905.7606,35535.52631
"Oct 30, 2022",15364.73049,19743.50711
"Oct 23, 2022",16610.45947,30812.58901
"Oct 16, 2022",15775.19345,36156.63256
"Oct 9, 2022",19709.9593,66554.00203
"Oct 2, 2022",18688.57434,14469.7539
"Sep 25, 2022",9789.90707,54766.53485
"Sep 18, 2022",11018.1511,26494.50766
"Sep 11, 2022",9997.702834,28984.53397
"Sep 4, 2022",8744.749087,37074.32496
"Aug 28, 2022",10555.44167,40950.33444
"Aug 21, 2022",8551.502321,22775.19846
"Aug 14, 2022",10062.17766,41108.9055
"Aug 7, 2022",8650.454445,32544.92155
"Jul 31, 2022",10233.56719,33197.44621
"Jul 24, 2022",8640.835283,40875.79422
"Jul 17, 2022",10222.25303,42662.66641
"Jul 10, 2022",8635.956521,28722.28574
"Jul 3, 2022",10204.77896,50133.70572
"Jun 26, 2022",17637.79034,21613.27772
"Jun 19, 2022",17490.08014,20502.93736
"Jun 12, 2022",14912.55458,50188.95678
"Jun 5, 2022",12380.47264,24286.82387
"May 29, 2022",8166.27221,33744.55337
"May 22, 2022",9727.482397,19443.6759
"May 15, 2022",6237.13193,22995.48858
"May 8, 2022",6946.331869,43553.41815
"May 1, 2022",5839.219333,17982.42171
"Apr 24, 2022",5240.302707,39238.98523
"Apr 17, 2022",3791.4237,36907.70956
"Apr 10, 2022",5715.609162,37104.17914
"Apr 3, 2022",6532.265317,44309.5848
"Mar 27, 2022",8017.799861,37203.98163
"Mar 20, 2022",8411.763788,45621.81669
"Mar 13, 2022",9256.632136,42699.3488
"Mar 6, 2022",11830.37346,33703.06829
"Feb 27, 2022",13077.49561,31984.53874
"Feb 20, 2022",12551.09392,31290.78531
"Feb 13, 2022",12144.44514,60721.04837
"Feb 6, 2022",6331.791355,34253.41934
"Jan 30, 2022",3608.637308,46981.33671
"Jan 23, 2022",4243.433157,47790.68782
"Jan 16, 2022",3897.528942,36177.65228
"Jan 9, 2022",7436.985821,40388.89876
"Jan 2, 2022",4559.322057,34923.15079
"Dec 26, 2021",921.3006892,7819.69225
