Week,Costs ($),Revenue
"Apr 16, 2023",0,0
"Apr 9, 2023",0,180.499328
"Apr 2, 2023",16.01146294,6562.22149
"Mar 26, 2023",559.9354739,11823.73601
"Mar 19, 2023",691.155437,10706.6463
"Mar 12, 2023",1017.956826,5909.670574
"Mar 5, 2023",1204.174034,4821.111284
"Feb 26, 2023",1075.212472,4292.64155
"Feb 19, 2023",972.8507099,8316.826136
"Feb 12, 2023",1056.275838,6236.175334
"Feb 5, 2023",2117.390504,5829.59863
"Jan 29, 2023",4399.478939,17390.32532
"Jan 22, 2023",7404.71409,8016.75308
"Jan 15, 2023",6081.201157,9254.279508
"Jan 8, 2023",5435.177181,10041.71823
"Jan 1, 2023",2950.55921,4688.430482
"Dec 25, 2022",2061.015422,2516.163654
"Dec 18, 2022",2772.022734,3139.811394
"Dec 11, 2022",2068.558794,2108.414494
"Dec 4, 2022",8936.782053,4589.72363
"Nov 27, 2022",12401.42223,4099.240992
"Nov 20, 2022",8659.677141,3734.324108
"Nov 13, 2022",8627.264845,2351.436932
"Nov 6, 2022",9320.109872,1810.055559
"Oct 30, 2022",16211.05331,4094.054188
"Oct 23, 2022",14067.0289,3670.716706
"Oct 16, 2022",13702.74088,8753.853954
"Oct 9, 2022",15063.4593,6070.03356
"Oct 2, 2022",10209.69096,6964.600296
"Sep 25, 2022",3866.521923,6632.723002
"Sep 18, 2022",4347.965667,5219.24121
"Sep 11, 2022",4403.685467,4147.149612
"Sep 4, 2022",4405.965499,4966.085638
"Aug 28, 2022",4401.218496,4487.5432
"Aug 21, 2022",4311.463301,5053.871436
"Aug 14, 2022",4649.731642,6274.013814
"Aug 7, 2022",4807.589533,5646.14097
"Jul 31, 2022",4148.181005,3067.956058
"Jul 24, 2022",1907.548832,6554.195228
"Jul 17, 2022",1529.170787,3100.197946
"Jul 3, 2022",2512.447848,10768.48513
"Jun 26, 2022",2052.153664,5499.776178
"Jun 19, 2022",2099.668541,12820.72975
"Jun 12, 2022",1876.079378,7426.05855
"Jun 5, 2022",1746.133093,2585.621076
"May 29, 2022",2094.619712,5710.874164
"May 22, 2022",2188.727389,4538.370002
"May 15, 2022",2204.064925,3947.077252
"May 8, 2022",2580.921032,5073.686998
"May 1, 2022",3038.846293,8070.357156
"Apr 24, 2022",3154.907422,7806.56424
"Apr 17, 2022",4081.866448,7945.860764
"Apr 10, 2022",6349.815683,9022.298588
"Apr 3, 2022",6013.057709,10515.55911
"Mar 27, 2022",7555.562138,16193.07742
"Mar 20, 2022",9306.208272,10224.73029
"Mar 13, 2022",8869.37853,16115.13654
"Mar 6, 2022",7645.328568,11379.61623
"Feb 27, 2022",6274.390373,12375.39812
"Feb 20, 2022",5510.406392,6191.310804
"Feb 13, 2022",4588.56432,6226.262824
"Feb 6, 2022",4399.394805,4101.661814
"Jan 30, 2022",4401.02479,6691.177322
"Jan 23, 2022",3415.07524,2478.120298
"Jan 16, 2022",4121.330622,6933.173398
"Jan 9, 2022",20146.25723,7712.430952
"Jan 2, 2022",16745.57837,12345.14425
"Dec 26, 2021",1529.387584,722.2745094
