Week,Costs ($),Revenue
"Apr 16, 2023",7529.756,89957.03526
"Apr 9, 2023",14237.275,85586.24952
"Apr 2, 2023",12184.549,51900.80436
"Mar 26, 2023",22342.138,99511.96626
"Mar 19, 2023",19147.791,80963.1891
"Mar 12, 2023",17008.485,69401.36466
"Mar 5, 2023",20717.307,134942.9076
"Feb 26, 2023",24297.104,110115.333
"Feb 19, 2023",17101.175,66933.5724
"Feb 12, 2023",12318.865,151846.4421
"Feb 5, 2023",12324.832,106553.7344
"Jan 29, 2023",16363.477,130297.3317
"Jan 22, 2023",16606.421,60181.1847
"Jan 15, 2023",16002.636,84207.34584
"Jan 8, 2023",14258.998,120630.6254
"Jan 1, 2023",16936.062,84016.08144
"Dec 25, 2022",26544.089,31726.2375
"Dec 18, 2022",38969.554,74156.3973
"Dec 11, 2022",53729.234,143023.1324
"Dec 4, 2022",52301.86,154962.5857
"Nov 27, 2022",42292.809,109755.711
"Nov 20, 2022",42925.87,161043.0682
"Nov 13, 2022",29756.688,64242.5427
"Nov 6, 2022",19134.479,81207.2583
"Oct 30, 2022",16250.676,110250.4167
"Oct 23, 2022",22627.943,47526.0138
"Oct 16, 2022",22378.499,56607.0462
"Oct 9, 2022",27161.017,68666.8374
"Oct 2, 2022",30467.008,85047.1182
"Sep 25, 2022",27978.483,71920.062
"Sep 18, 2022",26049.621,63265.8195
"Sep 11, 2022",20955.779,71008.5213
"Sep 4, 2022",18135.689,93343.4748
"Aug 28, 2022",22207.107,102719.8818
"Aug 21, 2022",26324.766,122532.3315
"Aug 14, 2022",28465.125,130269.186
"Aug 7, 2022",26086.827,82661.8329
"Jul 31, 2022",27553.786,77554.5696
"Jul 24, 2022",24347.115,66075.3387
"Jul 17, 2022",23785.385,107316.3969
"Jul 10, 2022",23136.23,47946.2427
"Jul 3, 2022",23779.145,45729.5886
"Jun 26, 2022",36130.211,71234.9694
"Jun 19, 2022",38274.73,101775.6585
"Jun 12, 2022",32333.093,102405.3453
"Jun 5, 2022",24989.211,95585.2722
"May 29, 2022",18656.924,39625.5114
"May 22, 2022",18607.407,50379.2847
"May 15, 2022",10709.881,76782.3453
"May 8, 2022",8053.721,80934.3864
"May 1, 2022",9356.802,50894.9361
"Apr 24, 2022",20017.14,72792.612
"Apr 17, 2022",19965.27,58243.21614
"Apr 10, 2022",21495.877,31629.88926
"Apr 3, 2022",20821.125,39148.87302
"Mar 27, 2022",20022.106,62373.7584
"Mar 20, 2022",17705.935,47719.3014
"Mar 13, 2022",10979.982,71649.7731
"Mar 6, 2022",9596.236,57264.678
"Feb 27, 2022",9985.105,54694.422
"Feb 20, 2022",9482.005,47387.7207
"Feb 13, 2022",11517.285,69419.2653
"Feb 6, 2022",12406.693,53278.1109
"Jan 30, 2022",10917.426,67367.0295
"Jan 23, 2022",11966.201,73473.5484
"Jan 16, 2022",12258.662,56728.9782
"Jan 9, 2022",19567.912,47120.4954
"Jan 2, 2022",16256.76,34091.523
"Dec 26, 2021",2319.447,6424.047
