Week,Costs ($),Revenue
"Apr 16, 2023",1300.945018,0
"Apr 9, 2023",1780.941759,101.6265395
"Apr 2, 2023",2203.519844,792.2235424
"Mar 26, 2023",3658.673431,2110.797575
"Mar 19, 2023",4445.276685,1865.7098
"Mar 12, 2023",5666.030151,760.2811427
"Mar 5, 2023",5431.775575,1069.82057
"Feb 26, 2023",2612.400327,2278.230604
"Feb 19, 2023",842.4609859,1395.92923
"Feb 12, 2023",958.6725524,3939.044556
"Feb 5, 2023",1146.349123,3279.997044
"Jan 29, 2023",2033.812117,7779.380075
"Jan 22, 2023",3875.679495,5083.706282
"Jan 15, 2023",2439.232205,2711.550148
"Jan 8, 2023",1562.338492,5282.08222
"Jan 1, 2023",1607.976535,1544.107992
"Dec 25, 2022",3611.523482,970.83614
"Dec 18, 2022",2670.925573,1442.192511
"Dec 11, 2022",1493.518232,1839.55562
"Dec 4, 2022",5897.664145,2031.164359
"Nov 27, 2022",4084.531371,3228.790561
"Nov 20, 2022",2502.378841,1297.477165
"Nov 13, 2022",2444.747943,1382.092782
"Nov 6, 2022",2147.739804,1590.750826
"Oct 30, 2022",1230.267518,714.3032014
"Oct 23, 2022",1213.909706,1026.580906
"Oct 16, 2022",1220.080808,7960.538576
"Oct 9, 2022",2855.818924,4792.297009
"Oct 2, 2022",3606.409944,7276.727816
"Sep 25, 2022",4045.232272,2882.565259
"Sep 18, 2022",2840.820781,2053.460828
"Sep 11, 2022",1910.494976,2421.0894
"Sep 4, 2022",1488.061165,4944.027639
"Aug 28, 2022",2685.624603,2841.53416
"Aug 21, 2022",3579.493967,3305.538602
"Aug 14, 2022",3548.79893,1566.786149
"Aug 7, 2022",3264.339478,4788.214202
"Jul 31, 2022",3443.49432,1166.497456
"Jul 24, 2022",4990.147934,1883.235705
"Jul 17, 2022",4044.292114,2020.588982
"Jul 10, 2022",4528.303463,1739.98092
"Jul 3, 2022",5869.053356,3345.714742
"Jun 26, 2022",2750.028342,3281.04277
"Jun 19, 2022",2345.507347,4434.010746
"Jun 12, 2022",1995.889276,3286.852855
"Jun 5, 2022",1901.226225,5765.90693
"May 29, 2022",1466.535535,2846.849374
"May 22, 2022",1313.943673,2308.664354
"May 15, 2022",1081.519715,1501.678985
"May 8, 2022",1099.097536,1380.433696
"May 1, 2022",1163.898368,1944.465969
"Apr 24, 2022",1845.807575,4483.942439
"Apr 17, 2022",3410.529279,5755.699206
"Apr 10, 2022",4117.548308,3761.95194
"Apr 3, 2022",2771.491239,5237.03456
"Mar 27, 2022",3715.318297,6385.734211
"Mar 20, 2022",3913.675477,6969.136978
"Mar 13, 2022",3683.471861,7539.447632
"Mar 6, 2022",3369.537615,3248.243899
"Feb 27, 2022",3006.688637,2663.198439
"Feb 20, 2022",3264.102733,4648.328731
"Feb 13, 2022",3123.828448,8198.251235
"Feb 6, 2022",2778.822146,3061.245052
"Jan 30, 2022",2505.313536,1533.279477
"Jan 23, 2022",2006.654791,1593.917696
"Jan 16, 2022",2069.984908,2316.627746
"Jan 9, 2022",4647.70306,1418.538274
"Jan 2, 2022",3245.413481,1044.28808
"Dec 26, 2021",320.6861354,4.927810332
