Week,Costs ($),Revenue
"Apr 16, 2023",10949.206,33417.02131
"Apr 9, 2023",27411.186,90808.72604
"Apr 2, 2023",22859.812,67658.91598
"Mar 26, 2023",24677.70831,201086.0234
"Mar 19, 2023",23674.36298,73194.60233
"Mar 12, 2023",21123.00478,102561.6631
"Mar 5, 2023",18688.12911,119041.9329
"Feb 26, 2023",19452.77482,111399.3395
"Feb 19, 2023",17053.46308,131508.6594
"Feb 12, 2023",19141.78789,123871.9261
"Feb 5, 2023",17909.84027,106066.5136
"Jan 29, 2023",40217.96804,147423.6901
"Jan 22, 2023",61393.36221,163593.0264
"Jan 15, 2023",66113.15286,152452.1341
"Jan 8, 2023",79090.20226,132148.9488
"Jan 1, 2023",67903.23713,129704.3678
"Dec 25, 2022",61089.2732,112900.4978
"Dec 18, 2022",71603.89753,148491.5776
"Dec 11, 2022",87681.39812,135108.1699
"Dec 4, 2022",93939.61979,181514.8031
"Nov 27, 2022",79546.31865,203214.5736
"Nov 20, 2022",78575.88251,179916.7776
"Nov 13, 2022",56348.23854,164437.5715
"Nov 6, 2022",52900.78634,149589.6851
"Oct 30, 2022",54058.35875,125558.8062
"Oct 23, 2022",39244.97,158022.9451
"Oct 16, 2022",37053.67369,142591.1727
"Oct 9, 2022",41905.83003,153251.4052
"Oct 2, 2022",41859.96887,162582.3751
"Sep 25, 2022",35897.59337,129199.6506
"Sep 18, 2022",36145.09145,165857.941
"Sep 11, 2022",26822.99816,106196.4186
"Sep 4, 2022",20215.02155,107354.7897
"Aug 28, 2022",25647.16544,168542.3218
"Aug 21, 2022",22226.11632,144772.8914
"Aug 14, 2022",27442.32618,179457.0083
"Aug 7, 2022",24843.69253,146704.152
"Jul 31, 2022",27004.16257,159993.356
"Jul 24, 2022",24858.08223,154249.1681
"Jul 17, 2022",28191.00212,129184.687
"Jul 10, 2022",22350.13439,159596.9045
"Jul 3, 2022",24832.89796,156941.0086
"Jun 26, 2022",51389.79927,98684.57048
"Jun 19, 2022",41543.86442,108336.6313
"Jun 12, 2022",36322.56972,89828.32265
"Jun 5, 2022",29709.69184,74995.76668
"May 29, 2022",21144.7948,182508.0914
"May 22, 2022",23255.94114,130571.0449
"May 15, 2022",19418.87947,191902.1835
"May 8, 2022",17795.35773,182548.9817
"May 1, 2022",16618.59175,170504.0952
"Apr 24, 2022",16854.92,121659.3569
"Apr 17, 2022",17271.229,145543.3065
"Apr 10, 2022",17936.08198,155663.3793
"Apr 3, 2022",19103.74041,213255.6215
"Mar 27, 2022",17545.73659,213312.6767
"Mar 20, 2022",18368.55946,89630.8359
"Mar 13, 2022",18843.10346,153791.0516
"Mar 6, 2022",24166.01046,97624.61411
"Feb 27, 2022",25364.17972,99331.36973
"Feb 20, 2022",25480.71677,131848.0285
"Feb 13, 2022",28014.98026,191464.0549
"Feb 6, 2022",28613.59656,123770.0307
"Jan 30, 2022",20929.19195,153028.3946
"Jan 23, 2022",20721.7413,131246.8992
"Jan 16, 2022",20224.40846,157220.6285
"Jan 9, 2022",25363.3687,163001.9473
"Jan 2, 2022",18060.54821,167687.3386
"Dec 26, 2021",3005.279077,18765.17814
