Week,Costs ($),Revenue
"Apr 16, 2023",0,0
"Apr 9, 2023",0,3294.805159
"Apr 2, 2023",11.54287927,8410.367737
"Mar 26, 2023",957.7422441,13176.27376
"Mar 19, 2023",1465.439932,13253.46866
"Mar 12, 2023",2199.35497,23439.50603
"Mar 5, 2023",2816.628975,8684.609579
"Feb 26, 2023",2239.181515,10263.4459
"Feb 19, 2023",1553.435681,14237.317
"Feb 12, 2023",1683.601621,9866.728132
"Feb 5, 2023",2545.002901,13709.78104
"Jan 29, 2023",7504.876839,12618.4084
"Jan 22, 2023",13862.45191,17382.79716
"Jan 15, 2023",11690.68086,14111.87856
"Jan 8, 2023",8254.090604,21059.98478
"Jan 1, 2023",5647.077958,8476.300774
"Dec 25, 2022",6825.09596,6080.403949
"Dec 18, 2022",6983.595303,4229.258873
"Dec 11, 2022",9442.719158,5266.548674
"Dec 4, 2022",18066.99721,5304.560557
"Nov 27, 2022",14181.50786,17127.48272
"Nov 20, 2022",12991.47581,11576.99414
"Nov 13, 2022",14439.04912,5328.959077
"Nov 6, 2022",13241.49166,4931.646748
"Oct 30, 2022",17470.84785,8294.007887
"Oct 23, 2022",16434.13627,10010.59264
"Oct 16, 2022",13411.42143,24507.16611
"Oct 9, 2022",14530.01752,16694.77479
"Oct 2, 2022",20431.94649,16158.59433
"Sep 25, 2022",14011.24091,17473.77607
"Sep 18, 2022",9546.987384,5555.026548
"Sep 11, 2022",8438.341814,8331.041657
"Sep 4, 2022",9423.427429,10451.2515
"Aug 28, 2022",10841.84625,12146.96928
"Aug 21, 2022",11020.48476,7831.498629
"Aug 14, 2022",12340.79778,9781.128912
"Aug 7, 2022",12708.81213,11087.3554
"Jul 31, 2022",12535.49069,10451.14629
"Jul 24, 2022",12218.54739,15889.502
"Jul 17, 2022",13690.90022,11418.42353
"Jul 10, 2022",15100.20568,16693.24256
"Jul 3, 2022",13989.92784,9753.024124
"Jun 26, 2022",11150.4331,9987.085829
"Jun 19, 2022",14168.07025,12132.89474
"Jun 12, 2022",15399.21164,14030.00648
"Jun 5, 2022",13126.4223,12923.57287
"May 29, 2022",12174.21898,7607.691471
"May 22, 2022",11702.47368,10960.66054
"May 15, 2022",9270.046872,12473.06681
"May 8, 2022",9173.817016,14328.29158
"May 1, 2022",8122.720864,18776.41848
"Apr 24, 2022",11822.82425,16242.14708
"Apr 17, 2022",15233.14795,21028.21831
"Apr 10, 2022",16422.50549,22453.91609
"Apr 3, 2022",16068.55581,20503.98946
"Mar 27, 2022",18574.04266,31939.55976
"Mar 20, 2022",19527.97084,22371.32376
"Mar 13, 2022",19754.40383,20701.32342
"Mar 6, 2022",20011.48525,20821.76973
"Feb 27, 2022",17039.91288,19172.48903
"Feb 20, 2022",14352.14988,18947.56261
"Feb 13, 2022",11056.18897,17835.08279
"Feb 6, 2022",7116.474545,20967.57972
"Jan 30, 2022",7490.273438,13162.39445
"Jan 23, 2022",6772.27163,19999.04197
"Jan 16, 2022",2973.701877,21662.83364
"Jan 9, 2022",17321.02193,28830.09298
"Jan 2, 2022",44628.60262,32264.86269
"Dec 26, 2021",6807.474105,565.2273341
